   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1254    1.004    0.001    1.350    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:2782(__new__)
      190    0.003    0.000    1.331    0.007 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_base.py:2744(grid)
      904    1.319    0.001    1.329    0.001 {cartopy.trace.project_linear}
      380    0.006    0.000    1.328    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1432(grid)
      142    0.616    0.004    1.311    0.009 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:1163(__call__)
      108    0.001    0.000    1.308    0.012 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4150(__truediv__)
      168    0.001    0.000    1.296    0.008 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1174(<genexpr>)
  292/280    0.145    0.000    1.270    0.005 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3031(__array_wrap__)
      129    0.002    0.000    1.243    0.010 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:331(_project_multipolygon)
       60    0.001    0.000    1.242    0.021 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:595(destroy)
        1    0.000    0.000    1.217    1.217 /lmt/venv/ilamb/lib/python3.8/site-packages/sympy/__init__.py:1(<module>)
        1    0.000    0.000    1.213    1.213 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/ModelResult.py:1(<module>)
        1    0.000    0.000    1.212    1.212 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:1(<module>)
      108    0.382    0.004    1.205    0.011 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4412(count)
      878    0.052    0.000    1.184    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:226(_project_linear_ring)
  372/248    0.002    0.000    1.173    0.005 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:658(__get__)
  1480913    1.127    0.000    1.127    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/multiarray.py:1043(copyto)
       62    1.035    0.017    1.035    0.017 {built-in method matplotlib._png.write_png}
       26    0.001    0.000    1.021    0.039 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:393(cla)
       26    0.001    0.000    0.978    0.038 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:652(set_extent)
     3563    0.609    0.000    0.956    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/coords.py:143(xy)
       26    0.000    0.000    0.950    0.037 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:223(_project_line_string)
        1    0.001    0.001    0.920    0.920 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/mathtext.py:2338(__init__)
        2    0.000    0.000    0.907    0.453 /lmt/venv/ilamb/lib/python3.8/site-packages/mpl_toolkits/axes_grid1/parasite_axes.py:212(draw)
       13    0.279    0.021    0.895    0.069 /lmt/venv/ilamb/lib/python3.8/site-packages/pyparsing.py:5445(oneOf)
      297    0.002    0.000    0.860    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:2218(_get_tick)
   110329    0.185    0.000    0.847    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/geometry/base.py:427(geom_type)
       56    0.002    0.000    0.841    0.015 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:2004(_update_label_position)
        8    0.000    0.000    0.832    0.104 /lmt/venv/ilamb/lib/python3.8/site-packages/mpl_toolkits/axisartist/axis_artist.py:1258(draw)
      228    0.003    0.000    0.829    0.004 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/ticker.py:2079(__call__)
      4/2    0.004    0.001    0.820    0.410 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/ModelResult.py:185(extractTimeSeries)
      230    0.003    0.000    0.819    0.004 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/ticker.py:2083(tick_values)
        6    0.000    0.000    0.811    0.135 /lmt/venv/ilamb/lib/python3.8/site-packages/mpl_toolkits/axisartist/axis_artist.py:1051(_draw_ticks)
      230    0.024    0.000    0.806    0.004 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/ticker.py:2019(_raw_ticks)
